sku,tmpl_xid,size,inseam,gtin
000J000020OS,tmpl_000J0_0002,OS,,4550608559975
000J500010OS,tmpl_000J5_0001,OS,,5401180079964
000J500020OS,tmpl_000J5_0002,OS,,5401180142743
000J500030OS,tmpl_000J5_0003,OS,,4550609898875
000JA00000OS,tmpl_000JA_0000,OS,,4550608560131
000JC00020OS,tmpl_000JC_0002,OS,,4550608560179
000JC00030OS,tmpl_000JC_0003,OS,,5401180145089
000JK00000OS,tmpl_000JK_0000,OS,,5401180142835
000JK00010OS,tmpl_000JK_0001,OS,,5401180142842
000KK00000L,tmpl_000KK_0000,L,,4550608439888
000KK00000M,tmpl_000KK_0000,M,,4550608439895
000KK00000S,tmpl_000KK_0000,S,,5401180508297
000KK00000XL,tmpl_000KK_0000,XL,,5401180508303
000KK00000XS,tmpl_000KK_0000,XS,,5401180508310
000KK00000XXS,tmpl_000KK_0000,XXS,,4550608439932
000KK00010L,tmpl_000KK_0001,L,,4550608439949
000KK00010M,tmpl_000KK_0001,M,,4550608439956
000KK00010S,tmpl_000KK_0001,S,,4550608217363
000KK00010XL,tmpl_000KK_0001,XL,,5401180572519
000KK00010XS,tmpl_000KK_0001,XS,,5401180508358
000KK00010XXS,tmpl_000KK_0001,XXS,,4550608439994
000KK00070L,tmpl_000KK_0007,L,,5401180508365
000KK00070M,tmpl_000KK_0007,M,,5401180508372
000KK00070S,tmpl_000KK_0007,S,,5401180381456
000KK00070XL,tmpl_000KK_0007,XL,,5401180508389
000KK00070XS,tmpl_000KK_0007,XS,,5401180508396
000KK00100L,tmpl_000KK_0010,L,,5401180799725
000KK00100M,tmpl_000KK_0010,M,,5401180799732
000KK00100S,tmpl_000KK_0010,S,,5401180799749
000KK00100XL,tmpl_000KK_0010,XL,,5401180799756
000KK00100XS,tmpl_000KK_0010,XS,,5401180799763
000KK00120L,tmpl_000KK_0012,L,,4550609763289
000KK00120M,tmpl_000KK_0012,M,,5401221078901
000KK00120S,tmpl_000KK_0012,S,,5401180903504
000KK00120XS,tmpl_000KK_0012,XS,,5401221078925
000KK00140L,tmpl_000KK_0014,L,,4550609763357
000KK00140M,tmpl_000KK_0014,M,,4550609763364
000KK00140S,tmpl_000KK_0014,S,,4550609763371
000KK00140XS,tmpl_000KK_0014,XS,,5401221244528
000KK00140XXS,tmpl_000KK_0014,XXS,,5401221244535
000KK00150L,tmpl_000KK_0015,L,,5401221203686
000KK00150M,tmpl_000KK_0015,M,,4550609750739
000KK00150S,tmpl_000KK_0015,S,,5401180903528
000KK00150XS,tmpl_000KK_0015,XS,,5401221203709
000KK00150XXS,tmpl_000KK_0015,XXS,,4550609750784
000KK00160L,tmpl_000KK_0016,L,,4550609749993
000KK00160M,tmpl_000KK_0016,M,,4550609750005
000KK00160S,tmpl_000KK_0016,S,,5401180903535
000KK00160XS,tmpl_000KK_0016,XS,,5401221078963
000LO000202832,tmpl_000LO_0002,28,32,4550608212528
000LO000202932,tmpl_000LO_0002,29,32,5401180038848
000LO000203032,tmpl_000LO_0002,30,32,4550608212702
000LO000203132,tmpl_000LO_0002,31,32,5401180038862
000LO000203232,tmpl_000LO_0002,32,32,5401132903743
000LO000203332,tmpl_000LO_0002,33,32,4550608212979
000LO000203432,tmpl_000LO_0002,34,32,5401180038886
000LO000203532,tmpl_000LO_0002,35,32,5401180038893
000LO000203632,tmpl_000LO_0002,36,32,4550608213242
000LO000203832,tmpl_000LO_0002,38,32,5401180038916
000LO000204032,tmpl_000LO_0002,40,32,4550608213426
000LO000402832,tmpl_000LO_0004,28,32,5401180029426
000LO000402932,tmpl_000LO_0004,29,32,5401180029433
000LO000403032,tmpl_000LO_0004,30,32,5401180029440
000LO000403132,tmpl_000LO_0004,31,32,5401180029457
000LO000403232,tmpl_000LO_0004,32,32,4550608185426
000LO000403332,tmpl_000LO_0004,33,32,5401180029464
000LO000403432,tmpl_000LO_0004,34,32,4550608238528
000LO000403632,tmpl_000LO_0004,36,32,5401180029501
000LO000403832,tmpl_000LO_0004,38,32,4550608238795
000LO000404032,tmpl_000LO_0004,40,32,4550608238887
000LO000502832,tmpl_000LO_0005,28,32,5401180038985
000LO000502932,tmpl_000LO_0005,29,32,5401180038992
000LO000503032,tmpl_000LO_0005,30,32,4550608214058
000LO000503132,tmpl_000LO_0005,31,32,4550608214140
000LO000503232,tmpl_000LO_0005,32,32,4550608214232
000LO000503332,tmpl_000LO_0005,33,32,5401180039036
000LO000503432,tmpl_000LO_0005,34,32,5401180039043
000LO000503632,tmpl_000LO_0005,36,32,4550608214591
000LO000503832,tmpl_000LO_0005,38,32,4550608214683
000LO000504032,tmpl_000LO_0005,40,32,5401180039081
000LO003302628,tmpl_000LO_0033,26,28,4550609566231
000LO003302629,tmpl_000LO_0033,26,29,5401231441863
000LO003302630,tmpl_000LO_0033,26,30,5401231441894
000LO003302631,tmpl_000LO_0033,26,31,4550609566262
000LO003302632,tmpl_000LO_0033,26,32,5401231442044
000LO003302633,tmpl_000LO_0033,26,33,4550609566286
000LO003302634,tmpl_000LO_0033,26,34,4550609566293
000LO003302635,tmpl_000LO_0033,26,35,4550609566309
000LO003302636,tmpl_000LO_0033,26,36,4550609566316
000LO003302728,tmpl_000LO_0033,27,28,4550609566323
000LO003302729,tmpl_000LO_0033,27,29,5401231442549
000LO003302730,tmpl_000LO_0033,27,30,4550609566347
000LO003302731,tmpl_000LO_0033,27,31,5401231442594
000LO003302732,tmpl_000LO_0033,27,32,5401231443539
000LO003302733,tmpl_000LO_0033,27,33,5401231443560
000LO003302734,tmpl_000LO_0033,27,34,4550609566385
000LO003302735,tmpl_000LO_0033,27,35,4550609566392
000LO003302736,tmpl_000LO_0033,27,36,5401231444444
000LO003302828,tmpl_000LO_0033,28,28,4550609566415
000LO003302829,tmpl_000LO_0033,28,29,4550609566422
000LO003302830,tmpl_000LO_0033,28,30,4550609566439
000LO003302831,tmpl_000LO_0033,28,31,4550609566446
000LO003302832,tmpl_000LO_0033,28,32,5401221051126
000LO003302833,tmpl_000LO_0033,28,33,4550609566460
