tmpl_xid,attribute,value
tmpl_000KK_0014,Size,L
tmpl_000KK_0014,Size,M
tmpl_000KK_0014,Size,S
tmpl_000KK_0014,Size,XS
tmpl_000KK_0014,Size,XXS
tmpl_000KK_0015,Size,L
tmpl_000KK_0015,Size,M
tmpl_000KK_0015,Size,S
tmpl_000KK_0015,Size,XS
tmpl_000KK_0015,Size,XXS
tmpl_000KK_0016,Size,L
tmpl_000KK_0016,Size,M
tmpl_000KK_0016,Size,S
tmpl_000KK_0016,Size,XS
tmpl_000LO_0002,Size,28
tmpl_000LO_0002,Size,29
tmpl_000LO_0002,Size,30
tmpl_000LO_0002,Size,31
tmpl_000LO_0002,Size,32
tmpl_000LO_0002,Size,33
tmpl_000LO_0002,Size,34
tmpl_000LO_0002,Size,35
tmpl_000LO_0002,Size,36
tmpl_000LO_0002,Size,38
tmpl_000LO_0002,Size,40
tmpl_000LO_0002,Inseam,32
tmpl_000LO_0004,Size,28
tmpl_000LO_0004,Size,29
tmpl_000LO_0004,Size,30
tmpl_000LO_0004,Size,31
tmpl_000LO_0004,Size,32
tmpl_000LO_0004,Size,33
tmpl_000LO_0004,Size,34
tmpl_000LO_0004,Size,36
tmpl_000LO_0004,Size,38
tmpl_000LO_0004,Size,40
tmpl_000LO_0004,Inseam,32
tmpl_000LO_0005,Size,28
tmpl_000LO_0005,Size,29
tmpl_000LO_0005,Size,30
tmpl_000LO_0005,Size,31
tmpl_000LO_0005,Size,32
tmpl_000LO_0005,Size,33
tmpl_000LO_0005,Size,34
tmpl_000LO_0005,Size,36
tmpl_000LO_0005,Size,38
tmpl_000LO_0005,Size,40
tmpl_000LO_0005,Inseam,32
tmpl_000LO_0033,Size,26
tmpl_000LO_0033,Size,27
tmpl_000LO_0033,Size,28
tmpl_000LO_0033,Size,29
tmpl_000LO_0033,Size,30
tmpl_000LO_0033,Size,31
tmpl_000LO_0033,Size,32
tmpl_000LO_0033,Size,33
tmpl_000LO_0033,Size,34
tmpl_000LO_0033,Size,35
tmpl_000LO_0033,Size,36
tmpl_000LO_0033,Size,38
tmpl_000LO_0033,Size,40
tmpl_000LO_0033,Size,42
tmpl_000LO_0033,Size,44
tmpl_000LO_0033,Inseam,28
tmpl_000LO_0033,Inseam,29
tmpl_000LO_0033,Inseam,30
tmpl_000LO_0033,Inseam,31
tmpl_000LO_0033,Inseam,32
tmpl_000LO_0033,Inseam,33
tmpl_000LO_0033,Inseam,34
tmpl_000LO_0033,Inseam,35
tmpl_000LO_0033,Inseam,36
tmpl_000LO_0037,Size,28
tmpl_000LO_0037,Size,29
tmpl_000LO_0037,Size,30
tmpl_000LO_0037,Size,31
tmpl_000LO_0037,Size,32
tmpl_000LO_0037,Size,33
tmpl_000LO_0037,Size,34
tmpl_000LO_0037,Size,35
tmpl_000LO_0037,Size,36
tmpl_000LO_0037,Size,38
tmpl_000LO_0037,Size,40
tmpl_000LO_0037,Inseam,30
tmpl_000LO_0037,Inseam,32
tmpl_000LO_0037,Inseam,33
tmpl_000LO_0037,Inseam,34
tmpl_000LO_0064,Size,27
tmpl_000LO_0064,Size,28
