code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-AIM-0128,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0129,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0130,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0131,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0132,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0133,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0134,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0135,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0136,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0137,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0138,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0139,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0140,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0141,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0142,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0143,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0144,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-ARKA-0145,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0146,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0147,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0148,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0149,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0150,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0151,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0152,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0153,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0154,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0155,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0156,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0157,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0158,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0159,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0160,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0161,1,Safety Traffic Cone 70 Cm,ARKA,Alat Pendukung,Unregistered Asset,2024-09-04,70000.0,0.0,0.0,0,
AS-ARKA-0162,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0163,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0164,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0165,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0166,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0167,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0168,1,HeadLamp Light L-T21,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,36900.0,0.0,0.0,0,
AS-ARKA-0169,1,ONEMED - Kotak P3K Set Jinjing Lengkap Isi 15 19 Item,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,130000.0,0.0,0.0,0,
AS-ARKA-0170,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0171,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0172,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0173,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0174,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0175,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0176,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0177,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0178,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0179,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0180,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0181,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0182,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0183,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0184,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0185,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0186,1,Helm Proyek Safety,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,72225.0,0.0,0.0,0,
AS-ARKA-0187,1,Rompi Safety 6 Kantong - Hijau Stablo,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,50000.0,0.0,0.0,0,
AS-ARKA-0188,1,Rompi Safety 6 Kantong - Hijau Stablo,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,50000.0,0.0,0.0,0,
AS-ARKA-0189,1,Rompi Safety 6 Kantong - Hijau Stablo,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,50000.0,0.0,0.0,0,
AS-ARKA-0190,1,Rompi Safety 6 Kantong - Hijau Stablo,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,50000.0,0.0,0.0,0,
AS-ARKA-0191,1,Rompi Safety 6 Kantong - Hijau Stablo,ARKA,Alat Pendukung,Unregistered Asset,2024-09-06,50000.0,0.0,0.0,0,
AS-ARKA-0192,1,Rantai Plastik 6mm x 50 Meter - Kuning,ARKA,Alat Pendukung,Unregistered Asset,2024-09-10,245000.0,0.0,0.0,0,
